Speaker,Sentence,Senti_Score
P3,"Ich glaub, ich hab jetzt alles falsch gemacht, ich bin bei Grün und nicht bei Rot.",-0.3
P1,"Okay, dann geh zu Rot.",0
P1,Wir müssen das fixen!,0.7
P1,Ich seh hier Blau und was ist das?,0
P1,Ein Gelbes?,0
P2,"Ich seh nichts anderes als Rot, wie sieht’s bei euch aus?",-0.8
P3,"Ich seh auch Rot, aber noch was anderes, vielleicht Orange?",0
P4,Ich seh Blau und… irgendwas anderes.,0.2
P4,Grün?,0
P1,Grün?,0.5
P1,Wo genau?,-0.2
P1,Ich seh’s nicht.,0
P4,"Ja, direkt bei mir, aber ich kann es nicht bewegen.",0
P4,Es gehört jemandem anders.,0
P3,Ich bin bei Orange!,0.9
P3,Was muss ich damit machen?,0
P1,Orange?,0
P1,"Du musst es zum Ziel bringen, P3!",-0.8
P4,Wer ist bei Blau?,0
P4,P5?,0
P5,"Ich bin bei Blau, aber ich kann den Punkt nicht finden!",-0.2
P5,Wo ist der Zielpunkt für Blau?,0
P2,"Ich glaube, der Zielpunkt für Blau ist da hinten.",0
P2,Ich komm mit.,0.75
P1,"Ah, ich hab’s falsch gemacht!",-0.8
P1,"Ich bin bei Gelb und nicht bei Blau, wie blöd von mir.",-0.8
P3,Was machst du bei Gelb?,0
P3,Du musst zurück!,-0.5
P1,"Ja, ja, ich korrigiere das.",1
P1,Ich geh zurück zu Blau.,0
P5,"Ich steh bei Blau, aber ich kann das nicht bewegen, es wird mir nicht angezeigt.",-0.6
P2,"Ich bringe Rot zum Ziel, was jetzt?",0
P1,"Ähm, der Punkt für Rot ist da hinten!",-0.7
P5,"Ich steh bei Blau, aber es tut sich nichts.",-0.5
P5,Warum bewegt sich das nicht?,0
P4,"Ich seh Blau auch, aber ich kann nichts tun.",-0.5
P4,Vielleicht musst du es richtig anvisieren.,0.8
P3,"Ich hab’s, das Orange muss zum Ziel!",1
P3,Aber wo genau ist es?,-0.3
P1,Orange ist direkt hier bei mir.,0
P1,Ich bring’s zum Zielpunkt!,1
P2,"Oh, ich war bei einem falschen Punkt, muss Rot woanders hin!",-0.5
P3,"Was, wo bist du jetzt?",0
P2,"Ich steh bei Grün, aber das ist nicht richtig.",-0.5
P2,Ich bring’s zurück.,0.5
P1,Wer ist bei Gelb?,0
P5,"Ich bin bei Gelb, aber da ist kein Zielpunkt.",0
P4,"Du musst weiterlaufen, vielleicht verschiebt sich der Zielpunkt.",0
P3,Ich bring Orange hin.,0
P3,Was macht Grün?,0
P4,"Ich glaub, du musst Grün erstmal anvisieren.",0
P1,"Ah, Mist!",-0.2
P1,"Ich bin bei Blau, aber das gehört nicht zu mir!",-0.3
P5,"Oh nein, das ist mein Fehler!",-0.8
P5,Ich hab Blau verwirrt.,0
P4,Was ist bei Rot?,0
P4,Wer ist da?,0
P2,"Ich bin bei Rot, aber ich hab keine Ahnung, ob das der richtige Zielpunkt ist.",0
P3,Geh einfach mal weiter!,0
P3,Wir müssen auf alles achten.,0
P1,Wer ist jetzt bei Blau?,0
P1,"Ich seh’s immer noch, aber ich kann’s nicht bewegen.",0.2
P5,"Ich bin bei Blau, aber es passiert nichts.",-0.5
P5,Vielleicht muss ich noch näher ran?,-0.2
P2,Ich war bei Grün und hab’s jetzt zum richtigen Punkt gebracht.,0.8
P1,Perfekt!,1
P1,Ich korrigiere jetzt den Fehler bei Blau.,0.8
P4,"Ich kann kein Gelb sehen, aber das müsste der Punkt für mich sein.",-0.5
P5,"Ich steh immer noch bei Blau, aber ich frag mich, warum es nicht geht.",-0.7
P3,"Ich bring Orange und… oh, ich hab’s wieder mit Rot verwechselt!",-0.2
P3,Was mache ich nur?,0
P1,"Ah, schnell, P3, bring Orange zum richtigen Punkt!",0.8
P4,"Ich glaub, es gibt noch mehr Punkte, die sich ändern, also bleibt aufmerksam!",0.6
P1,Ich seh hier Lila und… Grün?,0
P1,Oder doch Gelb?,0
P2,"Ich seh nur Rot, keine Ahnung, was hier los ist.",-0.8
P3,"Ich hab auch Rot, aber da ist was anderes.",-0.2
P3,Blau oder so?,0
P4,Ich bin bei Blau!,0.5
P4,Aber was ist mit Lila?,0
P4,Hat jemand Lila gesehen?,0
P1,Lila?,0
P1,Ich seh grad nix Lila.,-0.3
P1,"Du musst es irgendwo in der Nähe haben, P4.",-0.5
P3,"Warte, da ist was Lilanes bei mir!",0.8
P3,"Aber ich weiß nicht, ob ich das bewegen kann.",-0.6
P2,"Ah, du bist das, P3!",0
P2,"Ich seh nur Rot und es nervt, dass ich nicht weiterkomme.",-0.7
P1,Wer ist bei Grün?,0
P1,"Ich hab hier was Grünes, aber weiß nicht, wohin damit.",0
P4,"Ich bin bei Blau, aber was machen wir mit Grün?",0
P1,"Ich glaub, das Grün muss woanders hin.",0
P1,"P2, kannst du dir das anschauen?",0
P2,"Ah, du hast recht!",1
P2,"Ich bin bei Rot, das hab ich doch gesagt, aber wo soll Grün hin?",-0.7
P3,"Oh, das war mein Fehler, ich hab Grün eigentlich falsch markiert!",0.8
P4,Wer hat Grün?,0
P4,Wer ist bei Grün?,0
P1,"P3, du hast Grün, oder?",0
P3,"Ja, aber ich kann es nicht bewegen.",0.2
P3,"Es ist so, als ob es mir nicht angezeigt wird!",-0.8
P2,Ich kann das nicht fassen.,-0.8
P2,Wo sind die Zielpunkte?,0
P4,"Ich bin bei Blau, aber irgendwas stimmt hier nicht.",-0.5
P4,Wo ist der Zielpunkt für Blau?,0
P3,"Ich lauf mal zu Blau, vielleicht hilft das.",0.1
P3,"P1, wo bist du jetzt?",0
P1,"Ich bin bei Lila, aber keine Ahnung, ob das der richtige Punkt ist.",-0.3
P4,Ich kann Lila immer noch nicht sehen!,-0.5
P4,Was machen wir?,0
P1,"Ah, Mist!",-0.2
P1,Ich hab’s verwechselt.,-0.5
P1,"Ich bin ja Rot, warum bring ich Lila hierhin?",-0.2
P3,"Oh, du bist bei Rot?",0.3
P3,Dann solltest du zu Rot gehen!,-0.8
P1,"Ja, richtig, sorry, ich korrigiere das sofort.",-0.3
P2,"Ich steh immer noch bei Rot, aber was soll ich jetzt machen?",-0.7
P1,"Bleib bei Rot, das ist der Punkt für dich.",0.8
P5,"Ich seh nur Blau, aber ich kann nichts tun.",-0.7
P5,Was ist los?,-0.2
P4,"Geh ein Stück weiter, P5, vielleicht wird der Punkt sichtbar, wenn du dich bewegst.",0.8
P3,"Oh, ich glaub, das ist Lila!",1
P3,"Moment, wo ist der Punkt für Lila?",0
P4,"Ich bring jetzt Blau zum Ziel, aber wo muss es hin?",-0.3
P1,Das Ziel für Blau ist da hinten.,0
P1,Ich seh’s jetzt auch!,0.85
P3,"Warte, ich steh bei Grün, aber das hilft uns nicht weiter, oder?",-0.7
P4,"Wenn du bei Grün bist, dann bring es einfach zum Zielpunkt!",0.8
P2,"Oh Mann, ich hab Rot wieder zum falschen Punkt gebracht.",-0.6
P2,Wo muss ich jetzt hin?,0
P1,"Du bist Rot, P2.",0.5
P1,Der Punkt ist da drüben!,0.8
P5,"Ah, ich steh bei Blau, und jetzt passiert wieder nichts!",0.8
P3,"Geh einfach weiter, P5.",0
P3,Vielleicht tut sich was.,-0.6
P4,Wer ist bei Lila?,0
P4,Kannst du den Punkt sehen?,0
P3,"Ich bin bei Lila, aber ich kann es nicht bewegen.",0
P1,"Ahhh, ich hab Lila wieder falsch abgelegt!",-0.8
P1,Wo war der Punkt für Lila nochmal?,0
P4,"Ich glaub, du bist nicht der Einzige, der hier Fehler macht.",0.8
P4,Es geht gerade alles durcheinander!,-1
P2,"Ich bring Rot zu einem Zielpunkt und hoffe, dass es das richtige ist!",1
P3,"Ich steh jetzt bei Blau, aber das ist einfach nur verwirrend.",-0.6
P1,Ich hol Lila jetzt.,-0.8
P1,Wo ist der Zielpunkt?,0
P4,Hier!,0
P4,"Bring Lila hierhin, das ist der Punkt!",1
P2,"P1, du hast recht, du musst das jetzt richtig machen!",0.8
P5,"Ich hab Blau jetzt auch zum Ziel gebracht, aber ich warte auf eure Bestätigung.",0.5
P4,"Perfekt, P5, jetzt können wir weitermachen!",1
P1,Wieviel haben wir noch?,0
P5,Keine Ahnung.,0
P3,Es fehlen noch 4 Würfel.,-0.5
P2,"Frank, du warst Gelb?",0
P5,"Ja, was?",0.5
P5,Siehst du welche?,0
P2,"Nein, aber wir brauchen noch welche.",-0.3
P2,Sieht jemand?,0
P1,"Ich seh gerade nichts, außer Blau.",0.2
P1,Kann mir jemand helfen?,1
P3,"Ich hab Blau, aber keine Ahnung, wohin damit.",-0.5
P2,"Wir brauchen Gelb, hat jemand Gelb gesehen?",0
P5,"Ich dachte, ich hab Gelb, aber ich seh grad keinen Gelben mehr.",-0.7
P1,"Ich bin bei Blau, aber ich glaub, ich hab den Punkt verpasst.",0.7
P2,"Ah, ich hab einen Gelben gesehen!",0.8
P2,Der ist hier bei mir.,-0.2
P3,Du hast einen Gelben?,0
P3,Wo genau?,-0.2
P3,Ich seh nur Blau und Grün.,0
P1,Ich seh einen Grünen hier.,0
P1,Sollte der vielleicht zum Ziel?,-0.2
P5,Grün gehört zu mir!,0.6
P5,"Warte, ich korrigiere das.",0.5
P2,"Frank, wo bist du mit Gelb?",0
P5,"Ich bin noch am gleichen Punkt, aber ich kann den Zielpunkt für Gelb nicht finden.",-0.7
P3,Vielleicht musst du ein Stück weiter gehen.,0
P3,Versuch mal hier links!,0.7
P1,"Warte, ich hab auch noch einen Grünen hier, aber keine Ahnung, was ich damit tun soll.",-0.5
P2,"Es fehlen noch 4 Würfel, richtig?",0
P2,Wir müssen uns beeilen.,0
P5,"Ja, genau.",1
P5,"Ich hab einen Gelben jetzt am Zielpunkt, aber wo sind die anderen?",-0.3
P1,"Ich bringe den Grünen jetzt zum Zielpunkt, hoffentlich passt das.",0.3
P2,Wer hat Orange?,0
P3,"Ich hab Orange, aber wo ist der Punkt für Orange?",-0.3
P5,"Ich seh nix für Orange, aber ich kann’s mal suchen.",-0.5
P2,"Wir müssen aufpassen, nicht alles durcheinander zu bringen.",0.8
P2,Wo bleibt der Gelbe?,0
P5,"Der Gelbe ist sicher, aber der Punkt für Grün fehlt mir noch.",0
P1,"Ah, Mist!",-0.2
P1,Ich hab den Grünen am falschen Punkt abgelegt!,-0.5
P3,"Geh einfach zurück, P1, das ist nicht so schlimm.",-0.3
P2,Wer ist bei Blau?,0
P2,Wir brauchen Blau noch.,0.2
P5,"Ich seh Blau, aber bin nicht sicher, ob ich es bewegen kann.",-0.3
P1,"Ich bring Blau jetzt zum Ziel, aber kann jemand den Grünen nehmen?",0
P2,Ich nehm den Grünen!,1
P2,"Ich schau mal, ob ich den Zielpunkt finde.",0
P3,"Ich seh Gelb und Orange, aber ich kann den Zielpunkt nicht finden!",-0.5
P1,"Ich bin bei Blau, was soll ich jetzt tun?",0
P5,Bleib da!,0
P5,Wir kommen gleich dazu.,1
P2,"Ich bin bei Grün, bring es jetzt zum Ziel.",1
P3,"Ich bleib bei Orange und such den Zielpunkt, keine Ahnung, wo der ist.",-0.2
P5,"Die Zeit läuft, wir müssen uns beeilen!",-1
P5,Wo sind die anderen?,0
P1,"Ich bin bei Blau, es scheint richtig zu sein!",1
P2,Gelb fehlt noch!,-0.2
P2,"Wir müssen noch jemanden finden, der Gelb hat.",0
P5,"Ich hab Gelb, aber ich weiß nicht, wo der Punkt ist!",-0.5
P1,"Ich schau nochmal nach dem Grünen, vielleicht hilft das.",0
P1,Ich seh schon Farben.,0.8
P1,Wie siehts bei euch aus?,0
P2,Ich seh nur Rot.,0
P1,Genau ich seh auch Lila.,0
P3,Wer ist Lila?,0
P4,Ich bin Lila wer sieht Lila?,0
P3,Ich sehe Lila.,0
P4,Name?,0
P4,Ola oder?,0.5
P3,Ola oder Nadia es gibt einen Lilanen vor dem Lilanen draußen.,-0.5
P4,Vor dem Lilanen draußen?,0
P4,Okay dann komm ich zu dir.,0
P2,Wollen wir dann mit Lila und Blau loslegen?,0.8
P1,Genau würd ich sagen.,0
P4,Dann würde ich jetzt mit dir anfangen Ola.,0.8
P3,Ja ich schaue jetzt außen rum ob ich noch Lilane sehe.,0.7
P1,Ich schau auch mit nach Lila wir können ja sonst nichts machen.,-0.2
P2,Ich seh leider nur Rot.,0
P1,Ah ich seh auch noch Rot.,-0.2
P4,Wer hat Rot als Farbe?,0
P5,Ich.,0
P4,Okay Hans dann kannst du mit Lara arbeiten.,0
P1,Ja.,1
P2,Und mit mir auch.,0
P2,Mit mir auch.,0
P1,Ich gehe gerade bei Lila rein ich stehe bei Lila drinnen.,0
P5,Okay.,0
P5,Du stehst bei Lila drinnen?,0
P1,Hier siehst du mich?,0
P5,Gut ja ich seh dich.,0.8
P1,Bist du bei Türkis?,0
P5,Gut ja pass auf,0.5
P1,Ja schau hier ist der Rote,0
P5,Ja du bist Türkis oder?,0
P1,Ich bin Türkis.,0
P5,Weil da wo ich gerade stehe hinter dir der ist Türkis.,0
P4,Ola siehst du Lila irgendwo?,0
P3,Nein ich sehe einen Pinken.,-0.5
P4,Pink siehst du?,0
P3,Nein ich seh Lila und Pink.,0
P1,Hans wo bist du denn?,-0.1
P5,Ich bin hier,0
P4,Okay also Lila Ola Lila,0
P1,Was ist hier?,0
P1,Bei welcher Farbe?,0
P4,Lila wäre gut wenn du mir sagst.,0
P3,uh huh.,0
P5,Des bin ich,0
P1,Ahh jetzt hab ich Lila.,0.8
P4,Ich bin jetzt bei Rot.,0
P2,Hans.,0
P5,Ehhh,-0.2
P2,Hans ich warte auf dich ich hab en Roten.,0.8
P5,Okay.,0
P4,Ola hast du nen Lilanen irgendwo?,0
P3,Nein ich sehe jetzt Pinke und Rote.,-0.7
P4,Ah du siehst Pink und Rot.,0
P3,Lilane hab ich keins mehr,-0.8
P4,Keine mehr okay,-0.5
P5,Wo warn Rote?,-0.2
P2,Ah der Rote drinnen bei Türkis.,0
P2,Da steh ich und zeig drauf.,0
P1,Hans ich seh da auch noch nen Roten ich bleib einfach mal hier stehen.,0
P5,Ja.,1
P4,Ich seh keine Farben anscheinend ändert sich das auch aber jetzt kann ich Blau sehen.,0.3
P4,Und Türkis.,-0.5
P3,Ohh Okay öööhh ma Herr kannst du mir sagen ob du Blau siehst.,0
P4,Ja Ola?,0
P4,Das bist du oder?,0
P3,Ja,1
P4,Ich steh hier draußen zwischen dem Rot und dem öhhhhh.,-0.5
P1,Hier Hans ich bin hier bei Orange,0
P5,Wie.,0
P4,Pinken.,0.2
P3,Ja Ja und das.,0.5
P4,Genau und ich hab hier ne Blau.,0.5
P3,Okay gut danke.,0.5
P4,Ssssehr gut.,1
P4,Ich laufe rum ob ich schau ob ich Blauen sehe.,0.8
P1,Hans,0
P5,Ja,1
P1,Ich seh danach noch nen Roten.,0
P5,Wie wo bist.,0
P1,Drin bei Lila.,0.8
P4,Ich hab hier nochn Blauen gerade wenn du fertig bist.,0
P3,Ja?,1
P4,Wenn du rechts schaust.,0
